name,name_id,edu_type,university,university_id,qualification,award_date
Steve Bader,1955992,Education,University of Missouri-St Louis (UMSL),101427,Attended,
Doctor Peter Poulin,1955994,Education,Massachusetts Institute of Technology (MIT),40436,PhD,2005-01-01
Doctor Peter Poulin,1955994,Education,University of Toronto,62752,MS,1998-01-01
Doctor Peter Poulin,1955994,Education,University of Western Ontario,62795,BS (Hons),1996-01-01
Doctor Peter Poulin,1955994,Education,Boston University School of Law,833517,JD,2011-01-01
Gavin Guo,1955995,Education,New York University School of Law,574794,LLM,
Gavin Guo,1955995,Education,East China University of Political Science and Law,1221262,LLM,
Gavin Guo,1955995,Education,Ningbo University,1576602,BA,
Pam Abbate-Dattilo,1955996,Education,University of St Thomas,80829,BA (magna cum laude),2006-01-01
Pam Abbate-Dattilo,1955996,Education,University of St Thomas School of Law,422031,JD (summa Cum Laude),2009-01-01
Kristy Albrecht,1955997,Education,Jamestown College University of Jamestown,126651,BA (summa cum laude),1983-01-01
Kristy Albrecht,1955997,Education,University of Iowa College of Law,246437,JD (Hons),1995-01-01
Briar Andresen,1955998,Education,University of Pennsylvania Law School,74077,JD,1998-01-01
Briar Andresen,1955998,Education,Drake University,60540,BA (Cum Laude),1995-01-01
Bill Brody,1955999,Education,Purdue University,61638,BS (Hons),1973-01-01
Bill Brody,1955999,Education,Indiana University School of Law,78801,JD (magna Cum Laude),1976-01-01
Christy Brusven,1956000,Education,Mitchell Hamline School of Law (William Mitchell College of Law prior to 12/2015),135372,JD (magna Cum Laude),2007-01-01
Christy Brusven,1956000,Education,Southwest Minnesota State University (SMSU),487033,BA (summa cum laude),2002-01-01
Tom Rozylowicz,1956001,Education,United States Air Force Academy (USAFA),62113,BS,1994-01-01
Tom Rozylowicz,1956001,Education,George Mason University,78700,MS,1999-01-01
Tom Rozylowicz,1956001,Education,George Washington University Law School,82827,JD,2003-01-01
Katie Cole,1956002,Education,University of Ntre Dame,62544,BA (summa cum laude),2000-01-01
Katie Cole,1956002,Education,University of Minnesota Law School,80696,JD (Cum Laude),2005-01-01
Katie Cole,1956002,Professional Qualifications,Minnesota State Bar Association (MNBAR),81038,Certified Specialist (CS),
Ingrid Culp,1956003,Education,University of Minnesota,62475,JD (Cum Laude),1998-01-01
Ingrid Culp,1956003,Education,University of Wisconsin,63062,BA (Hons),1995-01-01
Ingrid Culp,1956003,Professional Qualifications,Minnesota State Bar Association (MNBAR),81038,Certified Specialist (CS),
Joe Dixon III,1956004,Education,University of Wisconsin,63062,BA (Distinction),1991-01-01
Joe Dixon III,1956004,Education,Columbia Law School,64891,JD,1995-01-01
John Erhart,1956005,Education,St John's University,61913,BA (summa cum laude),1974-01-01
John Erhart,1956005,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
John Erhart,1956005,Education,Georgetown University,60750,JD,1977-01-01
Andy Schwentker,1956006,Education,Duke University,60547,AB,2002-01-01
Andy Schwentker,1956006,Education,University of Maryland College Park,62449,MS,2005-01-01
Andy Schwentker,1956006,Education,George Washington University Law School,82827,JD (Hons),2007-01-01
Jessica Foss,1956008,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Jessica Foss,1956008,Education,University of North Dakota School of Law,460198,JD (Distinction),2008-01-01
Jessica Foss,1956008,Education,Northern State University,746979,BS,2005-01-01
Dulce Foster,1956009,Education,University of Minnesota Law School,80696,JD (magna Cum Laude),1998-01-01
Dulce Foster,1956009,Education,Macalester College,80775,BA (magna cum laude),
Lora Friedemann,1956010,Education,University of Minnesota Law School,80696,JD (magna Cum Laude),1995-01-01
Lora Friedemann,1956010,Education,University of Minnesota,62475,BA (summa cum laude),1991-01-01
David Glaser,1956011,Education,University of Michigan Law School,75652,JD (Cum Laude),1992-01-01
David Glaser,1956011,Education,University of Chicago,42092,BA (Hons),1988-01-01
Bill Guy III,1956012,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,CPA,1973-01-01
Bill Guy III,1956012,Education,University of North Dakota,62536,BS,1968-01-01
Bill Guy III,1956012,Education,University of North Dakota,62536,JD,1976-01-01
Krista Hatcher,1956013,Education,University of Oklahoma,62549,BA,2001-01-01
Krista Hatcher,1956013,Education,University of Minnesota Law School,80696,JD (magna Cum Laude),2007-01-01
Steven Helland,1956014,Education,University of Edinburgh,60610,Studied,1999-01-01
Steven Helland,1956014,Education,Vassar College,62845,AB (cum laude),1991-01-01
Steven Helland,1956014,Education,University of Michigan Law School,75652,JD (Cum Laude),1996-01-01
Sten-Erik Hoidal,1956015,Education,University of Minnesota Law School,80696,JD (Cum Laude),2004-01-01
Sten-Erik Hoidal,1956015,Education,Colorado College,82981,BA (Cum Laude),1999-01-01
Katherine Ilten,1956016,Education,St Olaf College,79564,BA (summa cum laude),2004-01-01
Katherine Ilten,1956016,Education,University of Iowa College of Law,246437,JD (Distinction),2008-01-01
Mary Krakow,1956018,Education,St Cloud State University,61908,MS,1985-01-01
Mary Krakow,1956018,Education,University of Minnesota Law School,80696,JD (Cum Laude),1990-01-01
Mary Krakow,1956018,Education,Northern State University,746979,BS (summa Cum Laude),1975-01-01
