name,name_id,edu_type,university,university_id,qualification,award_date
David Smith,1003490,Education,Murray State University (MSU),79039,BS (summa Cum Laude),1978-01-01
David Smith,1003490,Education,Singapore American School (SAS),1283832,Graduated,1975-01-01
Dick Harlow,1003495,Professional Qualifications,Society of Certified Senior Advisors (SCSA),1212711,Certified Senior Advisor,
Dick Harlow,1003495,Professional Qualifications,National Association of Alternative Benefits Consultants Inc (NAABC),1475658,Certified Benefits Consultant (CBC),
Dick Harlow,1003495,Professional Qualifications,American College of Financial Services (The),1932175,Chartered Life Underwriter,1974-01-01
Janis Mantini,1003498,Education,Pennsylvania State University (Penn State University),61582,BS,1979-01-01
Janis Mantini,1003498,Education,Pepperdine University,61585,MBA,
Lin Eagan,1003502,Education,University of Wisconsin,63062,BA,
Lin Eagan,1003502,Professional Qualifications,Council of Residential Specialists (CRS),129777,Certified Residential Specialists (CRS),
Barbara Delgleize,1003504,Professional Qualifications,National Association of Realtors (NAR),108037,e-PRO Training Program,
Barbara Delgleize,1003504,Professional Qualifications,National Association of Realtors (NAR),108037,Seniors Real Estate Specialist (SRES),
Barbara Delgleize,1003504,Professional Qualifications,Graduate Realtor Institute (GRI),129762,Graduate Realtor Institute (GRI),
Barbara Delgleize,1003504,Professional Qualifications,Residential Sales Council,664443,Certified Residential Specialists (CRS),
Barbara Delgleize,1003504,Professional Qualifications,Women's Council of Realtors,757070,Leadership Training Graduate (LTG),
Barbara Delgleize,1003504,Professional Qualifications,EcoBroker International Inc,1296650,Certified EcoBroker,
Barbara Delgleize,1003504,Professional Qualifications,California Department of Real Estate,1335090,Licensed Real Estate Broker (LREB),
Barbara Delgleize,1003504,Professional Qualifications,Distressed Property Institute LLC (DPI),1495812,Certified Distressed Property Expert (CDPE),
Barbara Delgleize,1003504,Professional Qualifications,Real Estate Buyers Agent Council of the National Association of Realtors,1545106,Accredited Buyers Representative (ABR),
Doctor Kate Hetherington,1003505,Education,Pennsylvania State University (Penn State University),61582,BS,
Doctor Kate Hetherington,1003505,Education,Villanova University,62858,MS,
Doctor Kate Hetherington,1003505,Education,Widener University,84317,Doctor of Education (DEd),
Doctor Kate Hetherington,1003505,Education,Community College of Philadelphia,635389,AAS,
Steve Dodge,1003506,Education,Lewis & Clark College,61147,BS,1975-01-01
Stacie Hunt,1003508,Education,Auburn University,1354261,BS,1986-01-01
Stacie Hunt,1003508,Education,Maryland University of Integrative Health (Formerly Known as Tai Sophia Institute) (MUIH),1585115,Certified,
Stacie Hunt,1003508,Professional Qualifications,Leadership Howard County,621946,Graduated,2002-01-01
Bernard Standard,1003510,Professional Qualifications,Focus 21st Century,1542097,Graduated,1991-06-01
Chris Sutton,1003511,Education,Murray State University (MSU),79039,BS,1989-01-01
Chris Sutton,1003511,Education,Murray State University (MSU),79039,MBA,
Tami Bui,1003512,Education,University of California Irvine,383127,Graduated (Hons),2002-01-01
Bob Ward,1003513,Education,University of Tennessee,64218,Graduated,1979-01-01
Todd LaPlante,1003514,Professional Qualifications,State Bar of California (The),46897,Licensed California Real Estate Broker,1989-01-01
Todd LaPlante,1003514,Professional Qualifications,Certified Commercial Investment Member (CCIM) Institute,489589,Certified Commercial Investment Member (CCIM),2011-01-01
Todd LaPlante,1003514,Education,University of Southern California Marshall School of Business,1260970,BS,1985-01-01
Tracey Williams,1003515,Education,Unknown Organisation,0,MA,2003-01-01
Tracey Williams,1003515,Education,Western Kentucky University,83922,Bachelor's Degree,1995-01-01
Nicole Shahenian,1003517,Education,George Washington University,60749,BA,1997-01-01
J Shafer,1003518,Education,Chaplin School of Hospitality & Tourism Management Florida International University (FIU),2075138,BS,1988-01-01
Lt. Colonel Perry Clark,1003520,Education,US Army War College (USAWC),80702,Masters Degree,2008-01-01
Lt. Colonel Perry Clark,1003520,Education,Frostburg State University,575090,BS,1982-01-01
Lt. Colonel Perry Clark,1003520,Education,Bowie State University,623021,Masters Degree,1999-01-01
Charlie Bunten,1003522,Education,Chapman University,121967,BA,
Becky Mangus,1003523,Professional Qualifications,Leadership Howard County,621946,Graduated,2004-01-01
Becky Mangus,1003523,Education,Colorado State University,60431,BA,1974-01-01
Dennis Gallagher,1003530,Education,San Francisco College of Mortuary Science,1601606,Graduated,1969-01-01
Bill Rea,1003534,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
John Shipe,1003535,Education,University of California Riverside (UCR),380092,Studied,1993-01-01
David Stone,1003537,Education,University of Missouri,52409,BS,
David Stone,1003537,Education,University of Missouri,52409,MS,
Jerry Moffatt,1003538,Education,University of Southern California Marshall School of Business,1260970,Bachelor's Degree,1990-01-01
Ana Holler,1003539,Education,California State Polytechnic University Pomona,60251,Bachelor's Degree,1985-01-01
Barb Nicklas,1003540,Education,Drexel University (Formerly known as Drexel Institute of Technology),60542,MBA,
Barb Nicklas,1003540,Education,University of Delaware,79387,BS (magna Cum Laude),
Eston Glover Jr,1003541,Education,University of Kentucky,62389,Bachelor's Degree,
Eston Glover Jr,1003541,Education,University of Wisconsin,63062,Masters Degree,
Eston Glover Jr,1003541,Education,Hopkinsville Community College,1357100,Attended,
Eric Nass,1003542,Education,Kellogg School of Management Northwestern University,77878,Executive Program,1993-01-01
Eric Nass,1003542,Education,Drexel University (Formerly known as Drexel Institute of Technology),60542,BS (Hons),
Eric Nass,1003542,Education,GE Management Development Institute,467469,Attended,
Jeremiah O'Donovan,1003546,Education,Unknown Organisation,0,Commercial Lines Coverage Specialist (CLCS),
Jeremiah O'Donovan,1003546,Education,Xavier University,73904,Graduated,2001-01-01
Jeremiah O'Donovan,1003546,Professional Qualifications,Target Markets Program Administrators Association (TMPAA) (The),1701722,Certified,
Tim Overbeck,1003549,Education,California State University Northridge (Formerly known as San Fernando Valley State College),60261,Graduated,2003-01-01
Lt. Colonel Tom Jones,1003550,Education,University of Arkansas Fayetteville,62156,MBA,
Lt. Colonel Tom Jones,1003550,Education,Henderson State University (Formerly known as Henderson State College),642173,BS,
Dan Kemp,1003557,Education,Murray State University (MSU),79039,BS,1967-01-01
Dan Kemp,1003557,Education,University of Kentucky,62389,JD,1970-01-01
Rosa Scharf,1003559,Education,University of Baltimore,99817,BS,
Mark Thompson,1003564,Education,University of North Carolina Chapel Hill,62533,Master's Degree (Hons),1992-01-01
Mark Thompson,1003564,Education,University of North Carolina Chapel Hill,62533,MBA (Hons),1992-01-01
Mark Thompson,1003564,Education,Stanford University,61935,BA,1984-01-01
Sharon Warner,1003565,Education,Loyola University Maryland,1714053,MBA,1990-01-01
Sharon Warner,1003565,Education,Notre Dame of Maryland University,2229492,BA,1985-01-01
Doctor Jim Selbe,1003566,Education,University of Memphis (UoM),97372,Doctorate,
Doctor Jim Selbe,1003566,Education,Freed Hardeman University,131797,BA,1978-01-01
Doctor Jim Selbe,1003566,Education,Freed Hardeman University,131797,MS,
Steven Gevarter,1003571,Education,Charles Widger School of Law Villanova University (Villanova University School of Law prior to 01/2016),466232,JD (Cum Laude),1976-01-01
Steven Gevarter,1003571,Education,New York University School of Law,574794,LLM,1982-01-01
Steven Gevarter,1003571,Education,Franklin & Marshall College,60710,BA,1973-01-01
Colonel Fred Swope,1003573,Professional Qualifications,Federal Republic of Germany,40731,Completed,
Colonel Fred Swope,1003573,Education,Florida State University,60692,BS,1983-01-01
Colonel Fred Swope,1003573,Education,US Army War College (USAWC),80702,Masters Degree,
Colonel Fred Swope,1003573,Education,US Army Command and General Staff College (CGSC),82996,Graduated,
The Hon. Steve Tribble,1003574,Education,Vanderbilt University,62843,Attended,
The Hon. Steve Tribble,1003574,Education,Murray State University (MSU),79039,BS,1970-01-01
